county,county_code,county_url
金山屯区,230709000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230709.html
五营区,230710000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230710.html
乌马河区,230711000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230711.html
汤旺河区,230712000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230712.html
带岭区,230713000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230713.html
乌伊岭区,230714000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230714.html
红星区,230715000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230715.html
上甘岭区,230716000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/07/230716.html
萨尔图区,230602000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/06/230602.html
龙凤区,230603000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/06/230603.html
